episode,reward,avg_loss,epsilon,success,steps
457,56.300,5.17075,0.398,1,12
458,7.000,4.90050,0.397,0,50
459,18.500,2.44943,0.396,0,50
460,16.000,2.82839,0.394,0,50
461,18.000,3.38536,0.393,0,50
462,28.000,3.65033,0.392,0,50
463,8.500,3.29951,0.390,0,50
464,9.000,3.30070,0.389,0,50
465,15.500,3.40832,0.388,0,50
466,20.000,3.81050,0.386,0,50
467,16.500,4.08727,0.385,0,50
468,12.500,4.04693,0.384,0,50
469,13.000,2.74078,0.382,0,50
470,55.600,6.01484,0.381,1,24
471,8.500,3.56215,0.380,0,50
472,54.200,4.27319,0.380,1,13
473,8.500,3.16685,0.378,0,50
474,17.500,4.01151,0.377,0,50
475,23.500,4.01169,0.376,0,50
476,76.000,4.69460,0.374,1,50
477,19.500,2.73501,0.373,0,50
478,16.500,2.94466,0.372,0,50
479,9.000,3.78700,0.370,0,50
480,60.200,3.77393,0.370,1,23
481,8.000,3.49425,0.368,0,50
482,13.000,2.72846,0.367,0,50
483,9.500,3.25650,0.366,0,50
484,12.000,3.74475,0.364,0,50
485,10.500,3.51839,0.363,0,50
486,58.800,4.09418,0.363,1,12
487,8.500,3.90294,0.361,0,50
488,7.000,3.03040,0.360,0,50
489,21.500,3.31641,0.358,0,50
490,16.000,5.12891,0.357,0,50
491,58.900,3.70385,0.356,1,31
492,14.500,4.21857,0.355,0,50
493,53.100,5.58209,0.355,1,9
494,19.000,2.96660,0.353,0,50
495,9.000,4.14019,0.352,0,50
496,52.400,4.25135,0.352,1,6
497,56.400,3.87776,0.351,1,16
498,1.000,5.02339,0.350,0,50
499,8.500,4.15869,0.349,0,50
500,4.000,4.50820,0.347,0,50
501,15.500,3.33037,0.346,0,50
502,21.000,3.57332,0.345,0,50
503,10.000,4.51824,0.343,0,50
504,0.500,4.63777,0.342,0,50
505,15.000,3.90443,0.341,0,50
506,10.000,4.12693,0.339,0,50
507,61.200,4.25203,0.339,1,23
508,6.500,4.17644,0.337,0,50
509,9.000,4.28465,0.336,0,50
510,10.500,3.86515,0.334,0,50
511,11.500,4.32344,0.333,0,50
512,17.000,5.80126,0.332,0,50
513,23.000,3.70338,0.330,0,50
514,62.000,4.16046,0.330,1,25
515,18.500,3.84396,0.328,0,50
516,6.500,4.62942,0.327,0,50
517,57.200,4.65573,0.326,1,33
518,20.000,3.48490,0.325,0,50
519,68.400,3.14975,0.323,1,46
520,-0.000,3.78494,0.322,0,50
521,7.500,3.35373,0.321,0,50
522,8.500,3.58752,0.319,0,50
523,17.500,3.64252,0.318,0,50
524,14.000,2.99423,0.317,0,50
525,16.000,4.92974,0.315,0,50
526,51.800,4.94107,0.315,1,7
527,24.000,4.79204,0.314,0,50
528,55.700,3.97294,0.313,1,23
529,16.500,3.69781,0.312,0,50
530,11.000,4.53994,0.310,0,50
531,17.500,4.49298,0.309,0,50
532,65.800,3.92523,0.308,1,47
533,11.000,3.87579,0.306,0,50
534,12.000,3.06631,0.305,0,50
535,61.800,3.96976,0.304,1,42
536,57.300,3.58488,0.303,1,27
537,14.000,4.18568,0.302,0,50
538,60.300,3.79138,0.301,1,32
539,10.500,4.90814,0.300,0,50
540,20.500,3.45821,0.298,0,50
541,63.800,5.05493,0.298,1,22
542,13.500,4.55388,0.296,0,50
543,11.000,4.52518,0.295,0,50
544,65.500,4.89592,0.294,1,45
545,21.000,4.39839,0.292,0,50
546,12.500,4.83402,0.291,0,50
547,13.500,4.62988,0.290,0,50
548,29.000,3.49974,0.288,0,50
549,20.000,5.06993,0.287,0,50
550,58.500,2.91256,0.286,1,20
551,55.000,2.47435,0.286,1,15
552,56.300,6.14710,0.286,1,17
553,12.500,4.51259,0.284,0,50
554,69.200,3.96560,0.283,1,48
555,59.400,4.29350,0.282,1,26
556,57.900,5.92556,0.282,1,26
557,10.500,4.89930,0.280,0,50
558,5.500,4.94592,0.279,0,50
559,62.000,4.55875,0.278,1,40
560,9.000,4.86153,0.276,0,50
561,60.300,5.22801,0.276,1,22
562,54.600,6.13679,0.275,1,39
563,59.900,7.27378,0.274,1,21
564,17.500,3.85348,0.273,0,50
565,64.500,3.85106,0.272,1,30
566,55.700,6.07787,0.271,1,23
567,30.500,6.25180,0.270,0,50
568,8.000,4.90354,0.269,0,50
569,8.000,4.92396,0.267,0,50
570,25.000,5.97201,0.266,0,50
571,13.000,4.62416,0.265,0,50
572,53.900,4.81803,0.264,1,11
573,28.000,6.74552,0.263,0,50
574,64.400,5.52544,0.262,1,36
575,9.500,4.03319,0.261,0,50
576,10.500,5.84322,0.259,0,50
577,54.000,7.35315,0.259,1,10
578,54.700,2.28730,0.259,1,8
579,18.500,5.32453,0.257,0,50
580,24.500,5.57648,0.256,0,50
581,17.500,5.56286,0.255,0,50
582,53.600,6.70559,0.254,1,9
583,14.000,5.92068,0.253,0,50
584,64.800,5.86359,0.252,1,22
