episode,reward,avg_loss,epsilon,success,steps
442,56.100,16.57925,0.158,1,14
443,54.500,17.60094,0.158,1,5
444,55.200,16.98658,0.158,1,8
445,64.200,16.13705,0.156,1,43
446,16.500,17.87700,0.153,0,50
447,39.500,19.43461,0.151,0,50
448,53.000,17.43699,0.151,1,5
449,63.700,20.40895,0.150,1,23
450,77.300,21.08446,0.148,1,32
451,69.100,19.73832,0.146,1,39
452,52.700,20.19992,0.146,1,3
453,60.400,14.83094,0.145,1,21
454,16.000,14.83833,0.143,0,50
455,11.000,18.22562,0.140,0,50
456,36.000,21.51959,0.138,0,50
457,70.500,18.42937,0.136,1,35
458,53.300,23.06227,0.136,1,7
459,55.600,12.86560,0.135,1,24
460,23.000,13.28760,0.132,0,50
461,75.200,20.53619,0.130,1,48
462,64.100,17.31481,0.129,1,19
463,54.000,17.82579,0.129,1,5
464,24.000,15.31232,0.127,0,50
465,58.600,15.15215,0.126,1,14
466,54.400,18.17652,0.126,1,6
467,57.700,14.06904,0.125,1,13
468,54.900,10.18457,0.124,1,21
469,52.100,8.07038,0.124,1,4
470,27.500,20.81617,0.121,0,50
471,65.900,17.77156,0.120,1,36
472,58.000,25.45104,0.119,1,10
473,16.500,23.23940,0.117,0,50
474,36.500,17.81534,0.115,0,50
475,65.900,17.85128,0.113,1,31
476,52.100,30.88147,0.113,1,4
477,69.300,17.78946,0.112,1,27
478,31.000,24.74009,0.109,0,50
479,41.000,17.08330,0.107,0,50
480,53.600,27.57348,0.107,1,4
481,53.800,16.71685,0.106,1,7
482,72.700,23.17614,0.104,1,48
483,64.600,19.25119,0.102,1,34
484,38.000,16.37554,0.100,0,50
485,0.500,19.73788,0.098,0,50
486,54.000,12.53150,0.097,1,5
487,26.500,15.30512,0.095,0,50
488,74.500,18.61286,0.093,1,40
489,62.900,20.04191,0.092,1,26
490,53.100,20.23519,0.092,1,4
491,60.300,12.68533,0.091,1,12
492,53.700,4.40067,0.091,1,8
493,63.100,16.82027,0.090,1,24
494,24.000,19.43013,0.087,0,50
495,24.500,16.86398,0.085,0,50
496,12.000,18.53466,0.082,0,50
497,66.000,19.37995,0.081,1,35
498,73.200,19.25363,0.079,1,28
499,78.800,19.77479,0.077,1,47
500,18.000,21.35553,0.075,0,50
501,24.000,17.48230,0.073,0,50
502,0.500,14.09205,0.070,0,50
503,62.500,17.29159,0.069,1,15
504,37.500,22.11225,0.067,0,50
505,56.900,17.42463,0.067,1,11
506,60.400,15.94804,0.066,1,21
507,54.700,14.02211,0.065,1,8
508,53.800,21.92138,0.065,1,7
509,38.500,20.02608,0.062,0,50
510,67.200,18.08063,0.061,1,23
511,58.900,17.10112,0.061,1,11
512,35.500,18.49402,0.058,0,50
513,35.500,17.92365,0.056,0,50
514,56.700,13.83078,0.056,1,8
515,17.500,24.75912,0.053,0,50
516,53.400,13.44502,0.053,1,6
517,55.700,28.47569,0.052,1,13
518,53.600,36.61532,0.052,1,4
519,67.100,21.16919,0.051,1,29
520,66.300,19.00838,0.050,1,27
521,21.500,21.79212,0.050,0,50
522,30.000,13.85488,0.050,0,50
523,18.500,24.50148,0.050,0,50
524,60.700,8.55931,0.050,1,18
525,58.000,12.30379,0.050,1,10
526,53.400,17.54159,0.050,1,6
527,28.500,22.73786,0.050,0,50
528,30.000,22.37026,0.050,0,50
529,63.300,16.40683,0.050,1,17
530,66.400,10.99718,0.050,1,21
531,21.000,20.38213,0.050,0,50
532,27.000,19.49347,0.050,0,50
533,40.500,19.21543,0.050,0,50
534,39.000,23.11123,0.050,0,50
535,56.800,19.40035,0.050,1,7
536,54.100,15.10346,0.050,1,19
537,59.900,20.49285,0.050,1,31
538,52.300,36.94693,0.050,1,2
539,63.800,11.17871,0.050,1,17
540,19.000,23.39175,0.050,0,50
541,73.200,21.48731,0.050,1,43
542,40.500,20.48854,0.050,0,50
543,53.900,26.65315,0.050,1,6
544,40.500,21.94942,0.050,0,50
545,20.000,19.57302,0.050,0,50
546,54.100,13.17066,0.050,1,9
547,80.500,22.31121,0.050,1,40
548,40.500,26.49245,0.050,0,50
549,26.500,20.39445,0.050,0,50
550,57.500,22.92444,0.050,1,10
551,42.000,20.75415,0.050,0,50
552,26.000,18.90105,0.050,0,50
553,36.000,24.03018,0.050,0,50
554,12.500,22.05792,0.050,0,50
555,24.500,22.15147,0.050,0,50
556,44.000,23.30931,0.050,0,50
557,-13.500,22.19099,0.050,0,50
558,11.000,21.69786,0.050,0,50
559,28.000,21.22052,0.050,0,50
560,58.700,21.79916,0.050,1,23
561,54.900,37.66022,0.050,1,6
562,70.800,18.13467,0.050,1,27
563,54.800,18.36842,0.050,1,7
564,17.500,18.52930,0.050,0,50
565,51.800,22.18792,0.050,1,2
566,80.300,27.17349,0.050,1,42
567,58.900,22.72322,0.050,1,16
568,19.500,21.14298,0.050,0,50
